,Name,State,Location,Date Formed,Area,Description
0,Allegheny,Pennsylvania,﻿41.650°N 79.017°W,"September 24, 1923","513,655 acres (2,078.7 km2)",Pennsylvania’s only National Forest includes Kinzua Dam and Allegheny Reservoir on the Allegheny Plateau in the northwestern part of the state. The forest contains the largest tract of remaining old-growth forest in Pennsylvania at Tionesta Scenic and Research Natural Areas and 10 mi (16 km) of the North Country Trail.[7][8]:255–263
1,Angeles,California,﻿34.400°N 118.167°W,"December 20, 1892","661,565 acres (2,677.3 km2)","Located in the San Gabriel Mountains at the edge of the Los Angeles metro area, this National Forest includes five wilderness areas. While much of the forest is dense chaparral, elevations in the forest range from 1,200 feet (370 m) to 10,064 feet (3,068 m) at the summit of Mount San Antonio.[10]"
2,Angelina,Texas,﻿31.217°N 94.283°W,"October 13, 1936","154,140 acres (623.8 km2)","Primarily longleaf, loblolly, and shortleaf pine, the forest includes two wilderness areas and borders the Sam Rayburn Reservoir. The forest provides habitat for the endangered red-cockaded woodpecker and wintering habitat for bald eagles.[11][12]:303–305"
3,Apache-Sitgreaves,"Arizona, New Mexico",﻿33.733°N 109.083°W,"August 17, 1898","2,626,306 acres (10,628.3 km2)","Encompassing the Mogollon Rim and White Mountains, this forest includes 34 lakes and over 680 miles (1,090 km) of rivers and streams, more than any other National Forest in the arid Southwest.[13]"
4,Apalachicola,Florida,﻿30.183°N 84.683°W,"May 13, 1936","576,119 acres (2,331.5 km2)","As the largest National Forest in Florida, Apalachicola includes over 2,700 acres (1,100 ha) of water and 67 mi (108 km) of the Florida Trail. There are caverns and sinkholes at the Leon Sinks Geological Area, while Fort Gadsden is along the Apalachicola River.[14]"
5,Arapaho,Colorado,﻿39.683°N 105.933°W,"October 24, 1903","720,418 acres (2,915.4 km2)","Arapaho National Forest is in the high Rockies and includes six wilderness areas. It is currently managed jointly with Roosevelt National Forest and Pawnee National Grassland. The highest paved road in North America ascends Mount Evans at an elevation of 14,265 ft (4,348 m).[15]"
6,Ashley,"Utah, Wyoming",﻿40.633°N 110.100°W,"July 1, 1908","1,378,424 acres (5,578.3 km2)","Ashley National Forest manages the Flaming Gorge National Recreation Area and the High Uintas Wilderness. Kings Peak at 13,528 ft (4,123 m) is the highest point in Utah and is located in the Uinta Mountains.[16]"
7,Beaverhead-Deerlodge,Montana,﻿45.500°N 113.000°W,"July 1, 1908","3,362,638 acres (13,608.1 km2)","The largest National Forest in Montana, it encompasses several mountain ranges of the Rocky Mountains. The forest includes the Anaconda-Pintler and Lee Metcalf wilderness areas and sections of the Continental Divide Trail and Nez Perce National Historic Trail.[17]"
8,Bienville,Mississippi,﻿32.267°N 89.500°W,"June 15, 1936","180,251 acres (729.4 km2)","Located in central Mississippi, this forest includes several lakes and reservoirs and Harrell Prairie, the largest and least disturbed prairie in the state. Bienville Pines Scenic Area includes 189 acres (76 ha) of old-growth forest. It is managed collectively with Mississippi’s five other National Forests.[8]:162–166[18]"
9,Bighorn,Wyoming,﻿44.533°N 107.350°W,"February 22, 1897","1,105,311 acres (4,473.0 km2)","In the Big Horn Mountains of north-central Wyoming, Bighorn National Forest has eight lodges, several reservoirs, and 1,500 mi (2,400 km) of trails. Elevation reach 13,167 ft (4,013 m) at Cloud Peak in the Cloud Peak Wilderness, which is also the location of the Cloud Peak Glacier.[19]"
